"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V003400","2022/06/01 0000","0","0","0","14","27","0","0","27","16","14"
"V003400","2022/06/01 0100","0","12","33","197","39","8","3","32","14","217"
"V003400","2022/06/01 0200","0","7","31","131","39","4","12","32","20","142"
"V003400","2022/06/01 0300","0","3","49","100","37","2","0","38","16","105"
"V003400","2022/06/01 0400","0","3","25","75","36","1","0","34","11","79"
"V003400","2022/06/01 0500","0","6","34","72","33","1","0","29","9","79"
"V003400","2022/06/01 0600","0","7","46","142","38","1","17","32","12","150"
"V003400","2022/06/01 0700","0","22","22","308","39","6","8","24","16","336"
"V003400","2022/06/01 0800","0","68","27","517","37","23","7","14","23","608"
"V003400","2022/06/01 0900","0","58","24","596","38","18","7","18","38","672"
"V003400","2022/06/01 1000","0","41","24","420","37","10","1","21","25","471"
"V003400","2022/06/01 1100","0","47","29","406","36","4","0","14","15","457"
"V003400","2022/06/01 1200","0","49","28","418","41","6","1","23","28","473"
"V003400","2022/06/01 1300","0","41","24","347","35","10","7","15","20","398"
"V003400","2022/06/01 1400","0","48","32","471","40","9","6","19","19","528"
"V003400","2022/06/01 1500","0","60","26","444","33","8","11","12","18","512"
"V003400","2022/06/01 1600","0","67","30","484","35","4","10","11","17","555"
"V003400","2022/06/01 1700","0","52","26","474","34","13","0","13","20","539"
"V003400","2022/06/01 1800","0","48","27","492","34","22","2","13","18","562"
"V003400","2022/06/01 1900","0","62","23","477","32","14","5","11","21","553"
"V003400","2022/06/01 2000","0","44","28","449","35","9","6","15","16","502"
"V003400","2022/06/01 2100","0","36","18","394","36","8","6","19","27","438"
"V003400","2022/06/01 2200","0","34","27","482","40","10","2","29","23","526"
"V003400","2022/06/01 2300","0","19","19","381","41","18","9","29","31","418"
"V003400","2022/06/02 0000","0","10","6","198","36","1","0","34","13","209"
"V003400","2022/06/02 0100","0","9","32","186","34","3","10","29","10","198"
"V003400","2022/06/02 0200","0","10","16","156","39","3","0","35","12","169"
"V003400","2022/06/02 0300","0","3","26","79","37","1","14","37","15","83"
"V003400","2022/06/02 0400","0","6","29","95","32","1","0","29","13","102"
"V003400","2022/06/02 0500","0","7","34","67","42","0","0","33","7","74"
"V003400","2022/06/02 0600","0","11","10","122","39","0","0","27","17","133"
"V003400","2022/06/02 0700","0","19","27","297","40","4","0","24","25","320"
"V003400","2022/06/02 0800","0","64","24","398","36","21","4","12","30","483"
"V003400","2022/06/02 0900","0","47","24","506","36","22","4","17","19","575"
"V003400","2022/06/02 1000","0","73","28","529","36","11","3","14","25","613"
"V003400","2022/06/02 1100","0","47","23","426","35","4","2","20","16","477"
"V003400","2022/06/02 1200","0","36","25","441","38","13","4","21","22","490"
"V003400","2022/06/02 1300","0","36","20","439","37","12","3","22","24","487"
"V003400","2022/06/02 1400","0","62","27","467","35","16","1","16","23","545"
"V003400","2022/06/02 1500","0","39","28","414","36","12","2","14","15","465"
"V003400","2022/06/02 1600","0","57","26","320","32","6","1","11","28","383"
"V003400","2022/06/02 1700","0","66","25","582","34","14","1","13","20","662"
