"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V040600","2022/04/01 0000","0","13","31","36","30","0","0","30","30","49"
"V040600","2022/04/01 0100","0","119","21","291","31","0","0","28","30","410"
"V040600","2022/04/01 0200","0","54","19","173","41","0","0","35","16","227"
"V040600","2022/04/01 0300","0","8","27","177","58","0","0","56","2","185"
"V040600","2022/04/01 0400","0","18","47","182","58","0","0","57","2","200"
"V040600","2022/04/01 0500","0","107","20","279","33","0","0","29","20","386"
"V040600","2022/04/01 0600","0","254","20","509","27","0","0","25","33","763"
"V040600","2022/04/01 0700","0","254","23","604","31","0","0","28","30","858"
"V040600","2022/04/01 0800","0","226","28","707","38","0","0","35","26","933"
"V040600","2022/04/01 0900","0","193","28","613","40","0","0","37","26","806"
"V040600","2022/04/01 1000","0","185","29","637","39","0","0","37","23","822"
"V040600","2022/04/01 1100","0","277","27","993","36","0","0","35","23","1270"
"V040600","2022/04/01 1200","0","125","44","786","52","0","0","51","8","911"
"V040600","2022/04/01 1300","0","179","28","583","38","0","0","36","20","762"
"V040600","2022/04/01 1400","0","157","32","749","45","0","0","42","16","906"
"V040600","2022/04/01 1500","0","86","51","1055","54","0","0","54","6","1141"
"V040600","2022/04/01 1600","0","84","50","892","54","0","0","54","5","976"
"V040600","2022/04/01 1700","0","128","44","854","48","0","0","47","11","982"
"V040600","2022/04/01 1800","0","151","44","832","48","0","0","47","10","983"
"V040600","2022/04/01 1900","0","143","40","850","44","0","0","44","10","993"
"V040600","2022/04/01 2000","0","59","50","967","54","0","0","53","4","1026"
"V040600","2022/04/01 2100","0","50","51","907","56","0","0","56","4","957"
"V040600","2022/04/01 2200","0","98","47","758","52","0","0","52","7","856"
"V040600","2022/04/01 2300","0","72","49","656","55","0","0","54","4","728"
"V040600","2022/04/02 0000","0","27","47","450","56","0","0","55","2","477"
"V040600","2022/04/02 0100","0","1","71","344","60","0","0","60","1","345"
"V040600","2022/04/02 0200","0","2","55","264","63","0","0","63","1","266"
"V040600","2022/04/02 0300","0","0","0","207","63","0","0","63","1","207"
"V040600","2022/04/02 0400","0","3","63","198","61","0","0","61","1","201"
"V040600","2022/04/02 0500","0","1","49","217","60","0","0","60","1","218"
"V040600","2022/04/02 0600","0","9","56","287","59","0","0","59","1","296"
