"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V058700","2022/02/01 0000","0","0","0","1","16","0","0","16","18","1"
"V058700","2022/02/01 0100","0","0","0","9","33","2","9","27","14","11"
"V058700","2022/02/01 0200","0","0","0","4","31","0","0","31","6","4"
"V058700","2022/02/01 0300","0","0","0","3","20","0","0","20","17","3"
"V058700","2022/02/01 0400","0","1","0","1","5","0","0","2","1","2"
"V058700","2022/02/01 0500","0","0","0","0","0","1","19","0","4","1"
"V058700","2022/02/01 0600","0","1","6","2","25","1","33","12","6","4"
"V058700","2022/02/01 0700","0","0","0","7","14","1","24","12","11","8"
"V058700","2022/02/01 0800","0","0","0","14","23","5","17","19","31","19"
"V058700","2022/02/01 0900","0","2","7","18","26","2","16","22","25","22"
"V058700","2022/02/01 1000","0","1","4","22","19","18","25","16","27","41"
"V058700","2022/02/01 1100","0","0","0","41","23","7","24","22","26","48"
"V058700","2022/02/01 1200","0","2","16","67","29","4","21","29","19","73"
"V058700","2022/02/01 1300","0","1","22","37","31","10","20","28","22","48"
"V058700","2022/02/01 1400","0","0","0","32","26","6","21","25","18","38"
"V058700","2022/02/01 1500","0","1","0","48","24","3","20","23","27","52"
"V058700","2022/02/01 1600","0","0","0","42","23","8","13","22","15","50"
"V058700","2022/02/01 1700","0","2","8","43","29","9","20","23","36","54"
"V058700","2022/02/01 1800","0","3","24","53","29","11","18","27","39","67"
"V058700","2022/02/01 1900","0","1","7","31","30","7","24","27","24","39"
"V058700","2022/02/01 2000","0","2","33","19","30","8","24","24","30","29"
"V058700","2022/02/01 2100","0","1","18","28","25","5","33","21","17","34"
"V058700","2022/02/01 2200","0","1","0","22","26","3","18","23","11","26"
"V058700","2022/02/01 2300","0","2","22","13","25","5","36","18","11","20"
"V058700","2022/02/02 0000","0","1","14","9","29","2","10","21","11","12"
"V058700","2022/02/02 0100","0","1","27","3","26","2","0","17","7","6"
"V058700","2022/02/02 0200","0","1","0","1","0","0","0","0","0","2"
"V058700","2022/02/02 0300","0","2","15","3","22","1","0","11","4","6"
"V058700","2022/02/02 0400","0","1","12","1","19","0","0","9","1","2"
"V058700","2022/02/02 0500","0","3","8","0","0","0","0","0","1","3"
"V058700","2022/02/02 0600","0","1","34","2","33","0","0","22","4","3"
"V058700","2022/02/02 0700","0","1","8","7","17","5","22","9","12","13"
"V058700","2022/02/02 0800","0","2","34","15","23","2","8","19","26","19"
"V058700","2022/02/02 0900","0","3","11","14","26","5","21","16","56","22"
"V058700","2022/02/02 1000","0","2","0","47","16","17","30","15","46","66"
"V058700","2022/02/02 1100","0","2","14","57","22","13","25","21","47","72"
"V058700","2022/02/02 1200","0","7","23","53","28","11","18","24","38","71"
"V058700","2022/02/02 1300","0","1","0","50","29","10","27","29","41","61"
"V058700","2022/02/02 1400","0","0","0","44","30","9","27","28","40","53"
"V058700","2022/02/02 1500","0","0","0","40","28","8","23","29","43","48"
"V058700","2022/02/02 1600","0","0","0","42","28","7","26","26","38","49"
"V058700","2022/02/02 1700","0","1","0","51","34","12","26","32","46","64"
"V058700","2022/02/02 1800","0","2","28","63","30","6","23","31","29","71"
"V058700","2022/02/02 1900","0","1","6","47","33","17","28","29","31","65"
"V058700","2022/02/02 2000","0","1","12","32","31","8","29","27","23","41"
"V058700","2022/02/02 2100","0","2","11","35","26","7","21","23","15","44"
"V058700","2022/02/02 2200","0","0","0","39","24","7","13","23","12","46"
"V058700","2022/02/02 2300","0","0","0","13","28","7","20","18","8","20"
"V058700","2022/02/03 0000","0","0","0","13","25","1","34","24","12","14"
"V058700","2022/02/03 0100","0","0","0","12","26","2","14","22","12","14"
"V058700","2022/02/03 0200","0","0","0","5","22","3","31","13","8","8"
"V058700","2022/02/03 0300","0","0","0","6","12","1","15","10","14","7"
"V058700","2022/02/03 0400","0","1","24","3","28","0","0","21","10","4"
"V058700","2022/02/03 0500","0","1","12","3","31","0","0","23","6","4"
"V058700","2022/02/03 0600","0","0","0","7","22","1","13","19","8","8"
"V058700","2022/02/03 0700","0","0","0","8","14","2","17","14","5","10"
"V058700","2022/02/03 0800","0","2","14","21","21","6","20","16","44","29"
"V058700","2022/02/03 0900","0","2","5","24","17","6","13","13","44","32"
"V058700","2022/02/03 1000","0","2","24","31","29","15","22","25","38","48"
"V058700","2022/02/03 1100","0","2","13","57","26","24","26","26","16","83"
"V058700","2022/02/03 1200","0","3","3","75","37","16","23","35","16","94"
"V058700","2022/02/03 1300","0","3","18","84","30","10","27","29","29","97"
"V058700","2022/02/03 1400","0","0","0","53","27","10","23","24","23","63"
"V058700","2022/02/03 1500","0","0","0","66","29","4","22","28","25","70"
"V058700","2022/02/03 1600","0","3","22","60","26","4","24","26","42","67"
"V058700","2022/02/03 1700","0","4","35","51","29","6","24","28","40","61"
"V058700","2022/02/03 1800","0","6","24","90","31","7","22","30","33","103"
"V058700","2022/02/03 1900","0","3","15","59","33","5","23","31","25","67"
"V058700","2022/02/03 2000","0","1","0","50","31","9","28","29","24","60"
"V058700","2022/02/03 2100","0","2","3","30","29","11","26","29","12","43"
"V058700","2022/02/03 2200","0","1","0","29","31","6","24","27","10","36"
"V058700","2022/02/03 2300","0","1","8","22","19","1","20","19","8","24"
"V058700","2022/02/04 0000","0","0","0","15","34","1","0","32","11","16"
"V058700","2022/02/04 0100","0","0","0","7","27","1","36","28","6","8"
"V058700","2022/02/04 0200","0","1","0","3","40","1","8","24","8","5"
"V058700","2022/02/04 0300","0","1","21","4","24","1","27","16","6","6"
"V058700","2022/02/04 0400","0","2","7","1","0","2","11","0","8","5"
"V058700","2022/02/04 0500","0","4","2","4","17","1","18","13","8","9"
"V058700","2022/02/04 0600","0","1","7","8","21","1","0","17","24","10"
"V058700","2022/02/04 0700","0","0","0","15","18","4","19","14","8","19"
"V058700","2022/02/04 0800","0","4","4","21","18","5","29","15","60","30"
"V058700","2022/02/04 0900","0","3","8","32","22","9","22","18","65","44"
"V058700","2022/02/04 1000","0","3","19","52","23","22","24","19","60","77"
"V058700","2022/02/04 1100","0","2","20","80","25","22","20","26","46","104"
"V058700","2022/02/04 1200","0","1","39","64","26","20","19","23","40","85"
"V058700","2022/02/04 1300","0","2","15","48","29","18","23","26","42","68"
"V058700","2022/02/04 1400","0","4","6","72","28","19","26","27","34","95"
"V058700","2022/02/04 1500","0","0","0","68","29","10","24","28","18","78"
"V058700","2022/02/04 1600","0","3","0","53","26","14","22","26","42","70"
"V058700","2022/02/04 1700","0","1","12","98","29","22","21","28","53","121"
"V058700","2022/02/04 1800","0","1","5","80","29","17","21","29","44","98"
"V058700","2022/02/04 1900","0","1","8","77","32","22","23","31","38","100"
"V058700","2022/02/04 2000","0","2","35","42","29","7","21","28","28","51"
"V058700","2022/02/04 2100","0","1","12","43","23","11","19","23","17","55"
"V058700","2022/02/04 2200","0","2","1","45","26","14","27","21","13","61"
"V058700","2022/02/04 2300","0","0","0","30","27","7","18","27","12","37"
"V058700","2022/02/05 0000","0","0","0","16","24","3","31","21","9","19"
"V058700","2022/02/05 0100","0","0","0","10","25","1","9","23","4","11"
"V058700","2022/02/05 0200","0","0","0","5","16","2","30","11","14","7"
"V058700","2022/02/05 0300","0","0","0","5","24","0","0","24","4","5"
"V058700","2022/02/05 0400","0","3","22","4","21","1","0","10","6","8"
"V058700","2022/02/05 0500","0","1","17","6","10","3","18","6","7","10"
"V058700","2022/02/05 0600","0","0","0","4","9","2","11","6","32","6"
"V058700","2022/02/05 0700","0","0","0","11","29","7","24","22","12","18"
"V058700","2022/02/05 0800","0","0","0","18","25","11","23","18","36","29"
"V058700","2022/02/05 0900","0","3","15","25","24","10","24","20","36","38"
"V058700","2022/02/05 1000","0","2","24","47","26","31","22","24","19","80"
"V058700","2022/02/05 1100","0","6","28","84","29","27","24","27","23","117"
"V058700","2022/02/05 1200","0","3","19","104","33","39","24","32","34","146"
"V058700","2022/02/05 1300","0","1","3","58","29","15","21","28","46","74"
"V058700","2022/02/05 1400","0","2","31","93","26","21","25","26","44","116"
"V058700","2022/02/05 1500","0","2","6","80","26","17","23","25","39","99"
"V058700","2022/02/05 1600","0","1","8","82","25","16","22","26","40","99"
"V058700","2022/02/05 1700","0","2","38","89","29","24","23","30","44","115"
"V058700","2022/02/05 1800","0","2","31","122","28","18","27","29","50","142"
"V058700","2022/02/05 1900","0","2","13","69","31","23","26","29","36","94"
"V058700","2022/02/05 2000","0","3","28","64","27","20","22","26","36","87"
"V058700","2022/02/05 2100","0","1","39","52","32","15","16","29","16","68"
"V058700","2022/02/05 2200","0","0","0","28","29","10","29","26","9","38"
"V058700","2022/02/05 2300","0","0","0","37","30","9","26","27","16","46"
"V058700","2022/02/06 0000","0","0","0","18","24","6","12","20","9","24"
"V058700","2022/02/06 0100","0","0","0","8","16","3","37","11","5","11"
"V058700","2022/02/06 0200","0","0","0","6","16","1","12","14","9","7"
"V058700","2022/02/06 0300","0","1","21","2","38","1","25","18","4","4"
"V058700","2022/02/06 0400","0","1","17","6","12","0","0","10","8","7"
"V058700","2022/02/06 0500","0","4","15","3","28","1","0","10","6","8"
"V058700","2022/02/06 0600","0","0","0","1","23","0","0","23","3","1"
"V058700","2022/02/06 0700","0","0","0","11","14","2","27","12","5","13"
"V058700","2022/02/06 0800","0","2","2","17","16","11","21","11","38","30"
"V058700","2022/02/06 0900","0","3","4","37","25","12","24","24","45","52"
"V058700","2022/02/06 1000","0","2","23","52","29","19","22","27","27","73"
"V058700","2022/02/06 1100","0","3","10","57","27","22","22","27","40","82"
"V058700","2022/02/06 1200","0","0","0","87","26","23","29","27","44","110"
"V058700","2022/02/06 1300","0","2","3","77","30","22","29","29","53","101"
"V058700","2022/02/06 1400","0","3","35","59","24","16","25","22","47","78"
"V058700","2022/02/06 1500","0","1","0","104","26","22","21","26","43","127"
"V058700","2022/02/06 1600","0","0","0","92","29","11","20","29","43","103"
"V058700","2022/02/06 1700","0","0","0","96","31","26","25","29","42","122"
"V058700","2022/02/06 1800","0","1","15","91","30","24","22","28","44","116"
"V058700","2022/02/06 1900","0","2","13","73","32","19","23","29","33","94"
"V058700","2022/02/06 2000","0","2","21","54","26","16","23","24","35","72"
"V058700","2022/02/06 2100","0","0","0","43","26","15","13","24","15","58"
"V058700","2022/02/06 2200","0","1","34","35","31","13","22","27","11","49"
"V058700","2022/02/06 2300","0","1","19","20","28","4","23","25","6","25"
"V058700","2022/02/07 0000","0","0","0","20","27","6","16","22","12","26"
"V058700","2022/02/07 0100","0","0","0","6","32","1","0","31","2","7"
"V058700","2022/02/07 0200","0","0","0","5","25","1","0","21","2","6"
"V058700","2022/02/07 0300","0","1","22","0","0","2","8","0","8","3"
"V058700","2022/02/07 0400","0","0","0","3","21","2","14","12","7","5"
"V058700","2022/02/07 0500","0","2","10","5","27","2","11","16","4","9"
"V058700","2022/02/07 0600","0","0","0","1","7","3","11","1","10","4"
"V058700","2022/02/07 0700","0","1","50","27","16","7","13","16","20","35"
"V058700","2022/02/07 0800","0","3","17","113","25","37","24","27","46","153"
"V058700","2022/02/07 0900","0","10","33","213","35","46","23","34","53","269"
"V058700","2022/02/07 1000","0","7","27","104","29","41","23","28","37","152"
"V058700","2022/02/07 1100","0","6","20","81","23","28","24","22","24","115"
"V058700","2022/02/07 1200","0","8","20","113","28","44","24","26","25","165"
"V058700","2022/02/07 1300","0","4","11","57","26","34","26","20","23","95"
"V058700","2022/02/07 1400","0","15","17","104","26","24","21","25","32","143"
