"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V003340","2022/09/01 0100","0","9","48","174","61","0","0","60","1","183"
"V003340","2022/09/01 0200","0","9","48","100","61","0","0","60","1","109"
"V003340","2022/09/01 0300","0","6","49","70","64","0","0","62","1","76"
"V003340","2022/09/01 0400","0","11","43","92","60","0","0","58","1","103"
"V003340","2022/09/01 0500","0","14","53","105","61","0","0","61","1","119"
"V003340","2022/09/01 0600","0","14","53","131","59","0","0","59","1","145"
"V003340","2022/09/01 0700","0","46","53","195","59","0","0","57","1","241"
"V003340","2022/09/01 0800","0","89","53","503","59","0","0","59","2","592"
"V003340","2022/09/01 0900","0","95","52","703","57","0","0","56","3","798"
"V003340","2022/09/01 1000","0","92","53","716","59","0","0","59","3","808"
"V003340","2022/09/01 1100","0","71","54","630","59","0","0","58","3","701"
"V003340","2022/09/01 1200","0","71","53","674","59","0","0","58","2","745"
"V003340","2022/09/01 1300","0","62","55","511","59","0","0","58","2","573"
"V003340","2022/09/01 1400","0","108","54","712","58","0","0","57","3","820"
"V003340","2022/09/01 1500","0","107","53","692","56","0","0","55","4","799"
"V003340","2022/09/01 1600","0","98","53","688","57","0","0","57","3","786"
"V003340","2022/09/01 1700","0","113","50","832","57","0","0","56","4","945"
"V003340","2022/09/01 1800","0","141","49","895","54","0","0","54","5","1036"
"V003340","2022/09/01 1900","0","220","44","828","51","0","0","49","7","1048"
"V003340","2022/09/01 2000","0","83","52","742","60","0","0","59","3","825"
"V003340","2022/09/01 2100","0","52","54","587","61","0","0","60","1","639"
"V003340","2022/09/01 2200","0","46","53","579","59","0","0","59","2","625"
"V003340","2022/09/01 2300","0","31","53","390","63","0","0","62","1","421"
"V003340","2022/09/02 0000","0","16","56","257","64","0","0","63","1","273"
"V003340","2022/09/02 0100","0","11","51","217","62","0","0","61","1","228"
"V003340","2022/09/02 0200","0","7","46","143","62","0","0","61","1","150"
"V003340","2022/09/02 0300","0","8","53","112","62","0","0","61","1","120"
"V003340","2022/09/02 0400","0","7","55","108","60","0","0","60","1","115"
"V003340","2022/09/02 0500","0","12","48","113","61","0","0","59","1","125"
"V003340","2022/09/02 0600","0","13","52","163","58","0","0","58","1","176"
"V003340","2022/09/02 0700","0","67","53","299","59","0","0","58","1","366"
"V003340","2022/09/02 0800","0","109","54","644","59","0","0","58","2","753"
"V003340","2022/09/02 0900","0","108","53","609","58","0","0","58","3","717"
"V003340","2022/09/02 1000","0","90","54","679","58","0","0","57","3","769"
"V003340","2022/09/02 1100","0","89","54","698","58","0","0","57","3","787"
"V003340","2022/09/02 1200","0","143","41","559","49","0","0","48","6","702"
"V003340","2022/09/02 1300","0","71","55","592","59","0","0","59","2","663"
"V003340","2022/09/02 1400","0","83","53","635","58","0","0","57","5","718"
"V003340","2022/09/02 1500","0","101","53","730","57","0","0","57","4","831"
"V003340","2022/09/02 1600","0","100","51","575","57","0","0","55","4","675"
"V003340","2022/09/02 1700","0","95","50","671","56","0","0","56","5","766"
"V003340","2022/09/02 1800","0","258","41","772","45","0","0","44","11","1030"
"V003340","2022/09/02 1900","0","219","39","693","43","0","0","43","11","912"
"V003340","2022/09/02 2000","0","89","51","782","54","0","0","54","5","871"
"V003340","2022/09/02 2100","0","62","53","633","58","0","0","57","3","695"
"V003340","2022/09/02 2200","0","96","48","642","54","0","0","54","5","738"
"V003340","2022/09/02 2300","0","40","53","398","61","0","0","60","1","438"
"V003340","2022/09/03 0000","0","16","57","265","62","0","0","62","1","281"
"V003340","2022/09/03 0100","0","24","49","206","58","0","0","57","1","230"
"V003340","2022/09/03 0200","0","9","38","147","59","0","0","58","1","156"
"V003340","2022/09/03 0300","0","9","50","123","59","0","0","58","1","132"
"V003340","2022/09/03 0400","0","6","50","124","60","0","0","60","1","130"
"V003340","2022/09/03 0500","0","7","53","123","62","0","0","61","1","130"
"V003340","2022/09/03 0600","0","13","51","141","59","0","0","59","1","154"
"V003340","2022/09/03 0700","0","28","56","227","60","0","0","59","1","255"
"V003340","2022/09/03 0800","0","46","56","387","62","0","0","61","1","433"
"V003340","2022/09/03 0900","0","100","53","548","58","0","0","57","3","648"
"V003340","2022/09/03 1000","0","99","51","598","57","0","0","56","4","697"
"V003340","2022/09/03 1100","0","124","47","647","56","0","0","54","4","771"
"V003340","2022/09/03 1200","0","162","45","787","50","0","0","49","6","949"
"V003340","2022/09/03 1300","0","153","45","929","52","0","0","51","6","1082"
"V003340","2022/09/03 1400","0","171","48","847","53","0","0","52","6","1018"
"V003340","2022/09/03 1500","0","139","47","619","51","0","0","50","7","758"
"V003340","2022/09/03 1600","0","100","49","731","55","0","0","55","4","831"
"V003340","2022/09/03 1700","0","122","49","663","55","0","0","54","4","785"
"V003340","2022/09/03 1800","0","146","47","779","55","0","0","53","4","925"
"V003340","2022/09/03 1900","0","133","45","696","52","0","0","51","5","829"
"V003340","2022/09/03 2000","0","92","48","704","57","0","0","56","2","796"
"V003340","2022/09/03 2100","0","74","49","702","57","0","0","56","2","776"
"V003340","2022/09/03 2200","0","66","50","681","56","0","0","56","2","747"
"V003340","2022/09/03 2300","0","21","54","464","59","0","0","59","2","485"
"V003340","2022/09/04 0000","0","14","54","387","60","0","0","60","1","401"
"V003340","2022/09/04 0100","0","21","47","325","56","0","0","55","1","346"
"V003340","2022/09/04 0200","0","13","51","223","58","0","0","57","1","236"
"V003340","2022/09/04 0300","0","8","55","194","57","0","0","57","1","202"
"V003340","2022/09/04 0400","0","13","47","128","60","0","0","59","1","141"
"V003340","2022/09/04 0500","0","6","49","152","59","0","0","58","1","158"
"V003340","2022/09/04 0600","0","14","47","188","58","0","0","58","1","202"
"V003340","2022/09/04 0700","0","34","47","263","57","0","0","56","1","297"
"V003340","2022/09/04 0800","0","46","54","341","61","0","0","60","1","387"
"V003340","2022/09/04 0900","0","43","56","433","59","0","0","59","1","476"
"V003340","2022/09/04 1000","0","57","51","513","60","0","0","60","2","570"
"V003340","2022/09/04 1100","0","74","51","573","59","0","0","58","2","647"
"V003340","2022/09/04 1200","0","114","49","711","57","0","0","56","3","825"
"V003340","2022/09/04 1300","0","71","53","684","58","0","0","58","3","755"
"V003340","2022/09/04 1400","0","70","50","609","59","0","0","58","3","679"
"V003340","2022/09/04 1500","0","84","52","706","57","0","0","57","3","790"
"V003340","2022/09/04 1600","0","65","54","698","59","0","0","59","2","763"
"V003340","2022/09/04 1700","0","74","50","574","58","0","0","57","4","648"
"V003340","2022/09/04 1800","0","120","51","680","57","0","0","56","5","800"
"V003340","2022/09/04 1900","0","109","49","730","57","0","0","56","4","839"
"V003340","2022/09/04 2000","0","75","52","541","58","0","0","57","3","616"
"V003340","2022/09/04 2100","0","56","53","637","60","0","0","59","3","693"
"V003340","2022/09/04 2200","0","45","52","534","61","0","0","60","2","579"
"V003340","2022/09/04 2300","0","14","60","324","63","0","0","63","1","338"
"V003340","2022/09/05 0000","0","8","60","237","64","0","0","64","1","245"
"V003340","2022/09/05 0100","0","7","55","205","63","0","0","63","1","212"
"V003340","2022/09/05 0200","0","7","54","130","61","0","0","60","1","137"
"V003340","2022/09/05 0300","0","7","55","66","63","0","0","62","1","73"
"V003340","2022/09/05 0400","0","2","52","91","64","0","0","64","1","93"
"V003340","2022/09/05 0500","0","11","51","63","62","0","0","60","1","74"
"V003340","2022/09/05 0600","0","12","45","109","60","0","0","59","1","121"
"V003340","2022/09/05 0700","0","57","53","270","61","0","0","59","1","327"
"V003340","2022/09/05 0800","0","95","51","541","59","0","0","57","3","636"
"V003340","2022/09/05 0900","0","106","49","561","55","0","0","54","4","667"
"V003340","2022/09/05 1000","0","104","48","688","54","0","0","53","6","792"
"V003340","2022/09/05 1100","0","96","48","548","57","0","0","55","3","644"
"V003340","2022/09/05 1200","0","100","50","674","57","0","0","56","4","774"
"V003340","2022/09/05 1300","0","100","49","693","57","0","0","56","4","793"
"V003340","2022/09/05 1400","0","96","52","646","57","0","0","56","4","742"
"V003340","2022/09/05 1500","0","124","51","676","55","0","0","54","5","800"
