"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V058740","2022/03/01 0000","0","0","0","7","38","0","0","38","11","7"
"V058740","2022/03/01 0100","0","1","28","8","22","8","19","25","15","17"
"V058740","2022/03/01 0200","0","0","0","13","22","2","20","22","28","15"
"V058740","2022/03/01 0300","0","0","0","4","32","0","0","32","9","4"
"V058740","2022/03/01 0400","0","0","0","4","28","0","0","28","16","4"
"V058740","2022/03/01 0500","0","1","9","3","15","1","5","11","16","5"
"V058740","2022/03/01 0600","0","3","2","4","24","3","11","14","6","10"
"V058740","2022/03/01 0700","0","6","29","44","28","14","10","28","10","64"
"V058740","2022/03/01 0800","0","6","18","215","33","43","23","32","55","264"
"V058740","2022/03/01 0900","0","7","18","160","27","58","26","28","65","225"
"V058740","2022/03/01 1000","0","19","17","124","26","30","20","25","48","173"
"V058740","2022/03/01 1100","0","17","15","78","26","18","23","26","38","113"
"V058740","2022/03/01 1200","0","16","16","94","27","28","22","26","45","138"
"V058740","2022/03/01 1300","0","13","15","101","21","29","28","23","34","143"
"V058740","2022/03/01 1400","0","10","15","96","27","23","18","26","28","129"
"V058740","2022/03/01 1500","0","22","12","114","25","17","23","24","48","153"
"V058740","2022/03/01 1600","0","29","11","134","29","25","22","29","48","188"
"V058740","2022/03/01 1700","0","18","15","148","29","34","27","29","57","200"
"V058740","2022/03/01 1800","0","6","21","176","26","56","32","28","64","238"
"V058740","2022/03/01 1900","0","7","27","188","28","50","26","29","64","245"
"V058740","2022/03/01 2000","0","1","0","123","25","25","19","25","57","149"
"V058740","2022/03/01 2100","0","1","18","104","28","25","21","26","35","130"
"V058740","2022/03/01 2200","0","4","8","83","24","19","23","25","33","106"
"V058740","2022/03/01 2300","0","0","0","46","19","23","15","18","16","69"
"V058740","2022/03/02 0000","0","3","26","29","25","9","26","31","19","41"
"V058740","2022/03/02 0100","0","2","8","11","33","8","16","24","13","21"
"V058740","2022/03/02 0200","0","0","0","7","13","0","0","13","18","7"
"V058740","2022/03/02 0300","0","2","6","2","15","1","66","21","30","5"
"V058740","2022/03/02 0400","0","0","0","1","26","2","6","21","2","3"
"V058740","2022/03/02 0500","0","1","10","4","13","0","0","12","17","5"
"V058740","2022/03/02 0600","0","3","26","8","20","2","21","24","11","13"
"V058740","2022/03/02 0700","0","5","3","47","32","11","16","30","12","63"
"V058740","2022/03/02 0800","0","5","29","194","33","61","27","33","54","260"
"V058740","2022/03/02 0900","0","11","15","187","29","45","29","29","65","243"
"V058740","2022/03/02 1000","0","7","19","113","27","20","17","27","49","140"
"V058740","2022/03/02 1100","0","17","13","105","26","12","17","25","41","134"
"V058740","2022/03/02 1200","0","22","16","103","27","25","18","25","40","150"
"V058740","2022/03/02 1300","0","7","18","118","28","18","16","28","38","143"
"V058740","2022/03/02 1400","0","15","13","123","24","23","20","24","37","161"
"V058740","2022/03/02 1500","0","16","10","118","25","28","32","25","40","162"
"V058740","2022/03/02 1600","0","25","16","128","26","36","17","25","51","189"
"V058740","2022/03/02 1700","0","18","23","149","28","37","25","28","57","204"
"V058740","2022/03/02 1800","0","14","26","177","28","50","28","27","66","241"
"V058740","2022/03/02 1900","0","4","21","176","26","32","20","25","62","212"
"V058740","2022/03/02 2000","0","2","20","83","26","16","21","27","44","101"
"V058740","2022/03/02 2100","0","1","0","89","27","21","16","26","30","111"
"V058740","2022/03/02 2200","0","1","27","86","27","26","20","26","31","113"
"V058740","2022/03/02 2300","0","5","0","57","25","27","28","25","23","89"
"V058740","2022/03/03 0000","0","0","0","25","31","6","46","34","13","31"
"V058740","2022/03/03 0100","0","1","23","7","21","8","16","20","21","16"
"V058740","2022/03/03 0200","0","0","0","3","31","3","31","31","1","6"
"V058740","2022/03/03 0300","0","1","12","1","10","1","27","16","7","3"
"V058740","2022/03/03 0400","0","0","0","2","36","0","0","36","4","2"
"V058740","2022/03/03 0500","0","4","16","4","35","0","0","25","15","8"
"V058740","2022/03/03 0600","0","1","0","4","22","2","16","22","3","7"
"V058740","2022/03/03 0700","0","6","1","39","27","11","14","26","19","56"
"V058740","2022/03/03 0800","0","6","29","198","36","48","34","36","57","252"
"V058740","2022/03/03 0900","0","7","2","215","30","69","31","31","64","291"
"V058740","2022/03/03 1000","0","18","24","136","28","29","23","28","48","183"
"V058740","2022/03/03 1100","0","17","13","89","24","21","21","24","34","127"
"V058740","2022/03/03 1200","0","12","21","88","25","15","24","26","44","115"
"V058740","2022/03/03 1300","0","6","19","117","26","24","19","25","36","147"
"V058740","2022/03/03 1400","0","11","28","110","26","18","24","27","37","139"
"V058740","2022/03/03 1500","0","11","17","126","26","18","18","26","38","155"
"V058740","2022/03/03 1600","0","29","12","116","28","22","19","25","45","167"
"V058740","2022/03/03 1700","0","18","10","152","26","41","30","27","70","211"
"V058740","2022/03/03 1800","0","9","17","192","27","52","24","27","68","253"
"V058740","2022/03/03 1900","0","4","18","162","23","55","21","24","62","221"
"V058740","2022/03/03 2000","0","2","0","109","26","21","18","25","47","132"
"V058740","2022/03/03 2100","0","1","0","101","27","22","26","27","38","124"
"V058740","2022/03/03 2200","0","2","12","89","29","29","19","28","27","120"
"V058740","2022/03/03 2300","0","0","0","56","22","28","23","23","25","84"
"V058740","2022/03/04 0000","0","1","18","19","27","10","23","30","8","30"
"V058740","2022/03/04 0100","0","0","0","11","17","5","14","16","22","16"
"V058740","2022/03/04 0200","0","2","20","6","22","2","18","25","16","10"
"V058740","2022/03/04 0300","0","1","14","6","17","5","16","16","20","12"
"V058740","2022/03/04 0400","0","0","0","3","30","1","8","24","26","4"
"V058740","2022/03/04 0500","0","1","0","4","22","0","0","17","2","5"
"V058740","2022/03/04 0600","0","3","23","7","19","1","0","21","14","11"
"V058740","2022/03/04 0700","0","5","2","44","27","18","22","27","16","67"
"V058740","2022/03/04 0800","0","4","30","184","33","47","23","33","50","235"
"V058740","2022/03/04 0900","0","9","10","207","31","69","34","33","68","285"
"V058740","2022/03/04 1000","0","11","23","106","29","22","23","27","37","139"
"V058740","2022/03/04 1100","0","16","12","103","29","17","28","29","34","136"
"V058740","2022/03/04 1200","0","18","16","101","27","23","26","27","40","142"
"V058740","2022/03/04 1300","0","10","12","99","23","21","24","24","39","130"
"V058740","2022/03/04 1400","0","14","23","111","27","30","28","27","46","155"
"V058740","2022/03/04 1500","0","18","20","114","26","22","23","25","45","154"
"V058740","2022/03/04 1600","0","15","17","124","29","26","29","29","44","165"
"V058740","2022/03/04 1700","0","16","22","172","29","31","26","29","66","219"
"V058740","2022/03/04 1800","0","5","11","185","26","69","28","27","74","259"
"V058740","2022/03/04 1900","0","3","13","177","19","49","21","20","68","229"
"V058740","2022/03/04 2000","0","1","3","129","25","24","24","25","55","154"
"V058740","2022/03/04 2100","0","1","0","111","25","17","28","26","35","129"
"V058740","2022/03/04 2200","0","2","0","109","26","23","27","26","21","134"
"V058740","2022/03/04 2300","0","2","25","62","26","26","20","25","21","90"
"V058740","2022/03/05 0000","0","1","2","38","22","7","24","23","18","46"
"V058740","2022/03/05 0100","0","1","48","13","33","7","33","35","20","21"
"V058740","2022/03/05 0200","0","0","0","11","18","0","0","18","17","11"
"V058740","2022/03/05 0300","0","0","0","5","13","1","25","15","10","6"
"V058740","2022/03/05 0400","0","0","0","4","21","2","19","23","7","6"
"V058740","2022/03/05 0500","0","1","9","4","37","1","21","30","5","6"
"V058740","2022/03/05 0600","0","3","28","5","15","3","7","21","9","11"
"V058740","2022/03/05 0700","0","3","3","21","25","8","12","23","10","32"
"V058740","2022/03/05 0800","0","1","0","51","26","13","26","25","39","65"
"V058740","2022/03/05 0900","0","3","33","82","25","23","17","27","51","108"
"V058740","2022/03/05 1000","0","6","28","78","23","30","15","25","42","114"
"V058740","2022/03/05 1100","0","16","18","116","26","20","22","25","42","152"
"V058740","2022/03/05 1200","0","13","21","121","26","28","22","27","48","162"
"V058740","2022/03/05 1300","0","4","18","97","26","28","24","27","60","129"
"V058740","2022/03/05 1400","0","5","14","127","26","24","21","27","47","156"
"V058740","2022/03/05 1500","0","9","17","157","24","32","23","24","49","198"
"V058740","2022/03/05 1600","0","26","8","172","27","21","24","26","57","219"
"V058740","2022/03/05 1700","0","1","0","123","30","34","21","29","62","158"
"V058740","2022/03/05 1800","0","1","0","129","28","44","25","28","56","174"
"V058740","2022/03/05 1900","0","0","0","101","25","11","12","26","53","112"
"V058740","2022/03/05 2000","0","0","0","98","25","18","16","24","46","116"
"V058740","2022/03/05 2100","0","1","0","104","24","7","16","24","30","112"
"V058740","2022/03/05 2200","0","0","0","101","27","33","20","27","28","134"
"V058740","2022/03/05 2300","0","2","23","69","20","26","30","23","28","97"
"V058740","2022/03/06 0000","0","0","0","21","19","14","26","22","21","35"
"V058740","2022/03/06 0100","0","0","0","17","24","3","32","25","18","20"
"V058740","2022/03/06 0200","0","0","0","12","23","3","45","29","17","15"
"V058740","2022/03/06 0300","0","0","0","14","19","2","28","20","16","16"
"V058740","2022/03/06 0400","0","1","0","7","21","0","0","18","8","8"
"V058740","2022/03/06 0500","0","1","6","9","33","2","38","31","7","12"
"V058740","2022/03/06 0600","0","0","0","5","16","1","0","14","19","6"
"V058740","2022/03/06 0700","0","2","5","19","22","5","40","28","10","26"
"V058740","2022/03/06 0800","0","3","7","17","25","9","25","25","33","29"
"V058740","2022/03/06 0900","0","1","5","54","25","8","18","25","40","63"
"V058740","2022/03/06 1000","0","6","22","64","24","16","27","25","30","86"
"V058740","2022/03/06 1100","0","8","20","66","22","13","14","22","36","87"
"V058740","2022/03/06 1200","0","7","20","81","22","15","20","22","40","103"
"V058740","2022/03/06 1300","0","2","40","79","23","14","23","24","47","95"
"V058740","2022/03/06 1400","0","0","0","116","25","19","11","25","54","135"
"V058740","2022/03/06 1500","0","3","3","134","25","23","25","25","53","160"
"V058740","2022/03/06 1600","0","2","0","152","24","17","19","24","61","171"
"V058740","2022/03/06 1700","0","5","14","109","25","22","27","25","48","136"
"V058740","2022/03/06 1800","0","3","37","93","20","12","20","23","44","108"
"V058740","2022/03/06 1900","0","2","0","79","25","11","29","26","44","92"
"V058740","2022/03/06 2000","0","1","0","104","27","18","21","26","44","123"
"V058740","2022/03/06 2100","0","0","0","95","24","20","21","24","32","115"
