"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V040600","2022/01/01 0000","0","2","17","13","20","0","0","19","4","15"
"V040600","2022/01/01 0100","0","57","44","477","52","0","0","51","2","534"
"V040600","2022/01/01 0200","0","68","43","505","51","0","0","51","5","573"
"V040600","2022/01/01 0300","0","22","46","244","57","0","0","56","4","266"
"V040600","2022/01/01 0400","0","2","56","249","60","0","0","60","1","251"
"V040600","2022/01/01 0500","0","6","59","201","62","0","0","62","1","207"
"V040600","2022/01/01 0600","0","10","57","281","62","0","0","62","1","291"
"V040600","2022/01/01 0700","0","29","53","363","58","0","0","57","1","392"
"V040600","2022/01/01 0800","0","59","52","434","57","0","0","56","2","493"
"V040600","2022/01/01 0900","0","44","52","518","59","0","0","58","2","562"
"V040600","2022/01/01 1000","0","80","52","753","57","0","0","56","3","833"
"V040600","2022/01/01 1100","0","89","46","785","55","0","0","54","5","874"
"V040600","2022/01/01 1200","0","130","29","474","38","0","0","36","27","604"
"V040600","2022/01/01 1300","0","118","28","427","44","0","0","41","23","545"
"V040600","2022/01/01 1400","0","97","37","566","50","0","0","48","22","663"
"V040600","2022/01/01 1500","0","102","49","896","54","0","0","53","7","998"
"V040600","2022/01/01 1600","0","106","47","980","52","0","0","52","5","1086"
"V040600","2022/01/01 1700","0","107","48","834","54","0","0","54","4","941"
"V040600","2022/01/01 1800","0","79","44","535","52","0","0","51","6","614"
"V040600","2022/01/01 1900","0","43","18","128","43","0","0","36","37","171"
"V040600","2022/01/01 2000","0","114","45","821","51","0","0","50","7","935"
"V040600","2022/01/01 2100","0","87","47","750","53","0","0","52","4","837"
"V040600","2022/01/01 2200","0","82","47","740","54","0","0","54","3","822"
"V040600","2022/01/01 2300","0","49","50","625","57","0","0","57","3","674"
"V040600","2022/01/02 0000","0","5","50","439","60","0","0","60","1","444"
"V040600","2022/01/02 0100","0","5","48","305","61","0","0","60","1","310"
"V040600","2022/01/02 0200","0","3","61","212","61","0","0","61","1","215"
"V040600","2022/01/02 0300","0","3","47","212","61","0","0","61","1","215"
"V040600","2022/01/02 0400","0","0","0","177","63","0","0","63","1","177"
"V040600","2022/01/02 0500","0","2","55","172","62","0","0","62","1","174"
"V040600","2022/01/02 0600","0","6","58","217","61","0","0","62","1","223"
"V040600","2022/01/02 0700","0","22","52","304","59","0","0","59","1","326"
"V040600","2022/01/02 0800","0","46","52","367","56","0","0","56","2","413"
"V040600","2022/01/02 0900","0","49","52","494","59","0","0","58","1","543"
"V040600","2022/01/02 1000","0","50","43","364","56","0","0","55","17","414"
"V040600","2022/01/02 1100","0","94","30","456","48","0","0","45","23","550"
"V040600","2022/01/02 1200","0","92","36","497","51","0","0","48","20","589"
"V040600","2022/01/02 1300","0","138","36","769","49","0","0","47","11","907"
"V040600","2022/01/02 1400","0","125","44","918","52","0","0","51","7","1043"
"V040600","2022/01/02 1500","0","158","27","611","37","0","0","36","24","769"
"V040600","2022/01/02 1600","0","101","49","730","54","0","0","53","4","831"
"V040600","2022/01/02 1700","0","85","46","735","53","0","0","53","6","820"
"V040600","2022/01/02 1800","0","83","50","742","55","0","0","54","4","825"
"V040600","2022/01/02 1900","0","103","49","775","52","0","0","52","5","878"
"V040600","2022/01/02 2000","0","125","47","763","53","0","0","52","6","888"
"V040600","2022/01/02 2100","0","116","46","814","53","0","0","52","6","930"
"V040600","2022/01/02 2200","0","73","47","606","56","0","0","55","9","679"
"V040600","2022/01/02 2300","0","33","51","551","58","0","0","57","1","584"
"V040600","2022/01/03 0000","0","6","56","383","61","0","0","61","1","389"
"V040600","2022/01/03 0100","0","6","42","212","61","0","0","61","1","218"
"V040600","2022/01/03 0200","0","1","49","166","63","0","0","63","1","167"
"V040600","2022/01/03 0300","0","4","55","116","63","0","0","63","1","120"
"V040600","2022/01/03 0400","0","1","61","99","64","0","0","64","1","100"
"V040600","2022/01/03 0500","0","1","58","147","62","0","0","62","1","148"
"V040600","2022/01/03 0600","0","15","55","231","60","0","0","60","2","246"
"V040600","2022/01/03 0700","0","85","51","707","55","0","0","54","5","792"
"V040600","2022/01/03 0800","0","109","47","852","54","0","0","53","6","961"
"V040600","2022/01/03 0900","0","174","34","796","47","0","0","44","15","970"
"V040600","2022/01/03 1000","0","60","54","781","58","0","0","59","3","841"
"V040600","2022/01/03 1100","0","60","56","676","59","0","0","58","3","736"
"V040600","2022/01/03 1200","0","75","51","805","56","0","0","55","4","880"
"V040600","2022/01/03 1300","0","74","55","751","58","0","0","58","3","825"
"V040600","2022/01/03 1400","0","74","52","850","57","0","0","56","4","924"
"V040600","2022/01/03 1500","0","94","47","893","55","0","0","54","6","987"
"V040600","2022/01/03 1600","0","92","48","873","56","0","0","54","5","965"
"V040600","2022/01/03 1700","0","140","26","488","44","0","0","40","24","628"
"V040600","2022/01/03 1800","0","99","49","671","54","0","0","53","6","770"
"V040600","2022/01/03 1900","0","93","47","699","54","0","0","53","5","792"
"V040600","2022/01/03 2000","0","64","49","685","56","0","0","55","3","749"
"V040600","2022/01/03 2100","0","42","55","633","58","0","0","58","2","675"
"V040600","2022/01/03 2200","0","54","49","576","55","0","0","54","2","630"
"V040600","2022/01/03 2300","0","43","51","455","57","0","0","57","1","498"
"V040600","2022/01/04 0000","0","6","54","289","60","0","0","60","1","295"
