"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V058700","2022/08/01 0000","0","0","0","0","0","0","0","0","0","0"
"V058700","2022/08/01 0100","0","0","0","11","16","1","67","15","5","12"
"V058700","2022/08/01 0200","0","0","0","9","25","0","0","25","3","9"
"V058700","2022/08/01 0300","0","1","13","1","44","3","27","8","24","5"
"V058700","2022/08/01 0400","0","2","26","0","0","0","0","0","4","2"
"V058700","2022/08/01 0500","0","5","22","1","0","3","19","0","4","9"
"V058700","2022/08/01 0600","0","1","32","5","17","1","23","12","21","7"
"V058700","2022/08/01 0700","0","4","20","36","20","11","16","16","22","51"
"V058700","2022/08/01 0800","0","5","18","149","31","55","26","32","59","209"
"V058700","2022/08/01 0900","0","17","22","262","38","71","29","37","63","350"
"V058700","2022/08/01 1000","0","25","23","126","31","56","28","31","42","207"
"V058700","2022/08/01 1100","0","18","19","165","33","32","32","32","39","215"
"V058700","2022/08/01 1200","0","20","26","130","32","53","31","31","37","203"
"V058700","2022/08/01 1300","0","14","14","90","30","50","25","27","39","154"
"V058700","2022/08/01 1400","0","19","18","119","29","39","28","26","39","177"
"V058700","2022/08/01 1500","0","20","35","103","29","19","20","30","29","142"
"V058700","2022/08/01 1600","0","16","20","122","32","13","24","31","47","151"
"V058700","2022/08/01 1700","0","12","18","180","35","31","24","35","60","223"
"V058700","2022/08/01 1800","0","13","33","203","36","80","29","36","56","296"
"V058700","2022/08/01 1900","0","9","38","124","35","55","25","34","57","188"
"V058700","2022/08/01 2000","0","4","24","107","29","37","29","28","48","148"
"V058700","2022/08/01 2100","0","3","47","76","25","44","27","23","23","123"
"V058700","2022/08/01 2200","0","1","9","198","23","101","24","26","48","300"
"V058700","2022/08/01 2300","0","4","4","90","17","39","24","19","39","133"
"V058700","2022/08/02 0000","0","5","16","51","19","20","21","17","23","76"
"V058700","2022/08/02 0100","0","2","19","25","18","16","12","13","19","43"
"V058700","2022/08/02 0200","0","1","34","22","16","6","20","14","10","29"
"V058700","2022/08/02 0300","0","3","12","11","15","4","17","12","8","18"
"V058700","2022/08/02 0400","0","1","31","8","28","3","20","20","4","12"
"V058700","2022/08/02 0500","0","2","18","12","16","4","16","11","9","18"
"V058700","2022/08/02 0600","0","5","11","21","19","14","17","16","29","40"
"V058700","2022/08/02 0700","0","6","23","130","24","65","19","22","31","201"
"V058700","2022/08/02 0800","0","10","13","215","26","104","26","26","69","329"
"V058700","2022/08/02 0900","0","16","25","243","34","82","29","34","65","341"
"V058700","2022/08/02 1000","0","18","25","115","30","34","23","30","31","167"
"V058700","2022/08/02 1100","0","12","18","127","28","31","28","28","41","170"
"V058700","2022/08/02 1200","0","10","22","117","31","48","28","31","31","175"
"V058700","2022/08/02 1300","0","13","29","119","31","28","23","28","29","160"
"V058700","2022/08/02 1400","0","17","25","108","28","11","26","29","23","136"
"V058700","2022/08/02 1500","0","13","30","98","27","5","30","28","25","116"
"V058700","2022/08/02 1600","0","16","24","145","28","22","19","27","41","183"
"V058700","2022/08/02 1700","0","22","39","165","33","19","18","32","59","206"
"V058700","2022/08/02 1800","0","14","26","192","36","77","27","37","76","283"
"V058700","2022/08/02 1900","0","15","31","137","31","53","26","32","57","205"
"V058700","2022/08/02 2000","0","2","9","91","30","40","28","29","44","133"
