"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V058740","2022/07/01 0000","0","0","0","8","9","0","0","9","2","8"
"V058740","2022/07/01 0100","0","4","9","21","14","14","6","11","6","39"
"V058740","2022/07/01 0200","0","4","8","13","17","6","11","14","14","23"
"V058740","2022/07/01 0300","0","0","0","14","15","2","26","16","8","16"
"V058740","2022/07/01 0400","0","2","4","6","14","0","0","11","7","8"
"V058740","2022/07/01 0500","0","0","0","8","7","0","0","7","1","8"
"V058740","2022/07/01 0600","0","4","11","10","19","5","10","16","6","19"
"V058740","2022/07/01 0700","0","4","16","58","14","15","12","13","7","77"
"V058740","2022/07/01 0800","0","4","15","244","16","86","12","17","33","334"
"V058740","2022/07/01 0900","0","16","15","328","16","128","12","16","41","472"
"V058740","2022/07/01 1000","0","23","6","234","14","49","15","14","30","306"
"V058740","2022/07/01 1100","0","46","13","188","14","40","12","15","25","274"
"V058740","2022/07/01 1200","0","38","9","199","14","52","11","15","23","289"
"V058740","2022/07/01 1300","0","30","14","229","12","40","12","14","20","299"
"V058740","2022/07/01 1400","0","36","11","192","14","58","12","14","22","286"
"V058740","2022/07/01 1500","0","24","8","229","14","39","11","13","26","292"
"V058740","2022/07/01 1600","0","26","13","258","13","28","11","13","25","312"
"V058740","2022/07/01 1700","0","14","15","335","18","58","10","17","44","407"
"V058740","2022/07/01 1800","0","12","17","344","16","102","10","16","46","458"
"V058740","2022/07/01 1900","0","6","18","277","17","60","10","17","38","343"
"V058740","2022/07/01 2000","0","4","0","239","14","57","13","15","33","300"
"V058740","2022/07/01 2100","0","2","13","194","13","48","11","12","20","244"
"V058740","2022/07/01 2200","0","4","0","188","14","48","11","14","17","240"
"V058740","2022/07/01 2300","0","4","13","105","12","44","12","12","13","153"
"V058740","2022/07/02 0000","0","4","8","56","13","14","13","13","4","74"
"V058740","2022/07/02 0100","0","0","0","27","10","12","14","13","16","39"
"V058740","2022/07/02 0200","0","2","15","19","15","8","3","11","17","29"
"V058740","2022/07/02 0300","0","0","0","8","2","2","4","2","6","10"
"V058740","2022/07/02 0400","0","0","0","4","10","0","0","10","15","4"
"V058740","2022/07/02 0500","0","2","10","0","0","2","16","13","2","4"
"V058740","2022/07/02 0600","0","2","8","15","14","8","10","13","7","25"
"V058740","2022/07/02 0700","0","6","14","37","11","6","7","11","9","49"
"V058740","2022/07/02 0800","0","8","7","104","13","41","10","13","25","153"
"V058740","2022/07/02 0900","0","6","19","140","13","42","7","14","26","188"
"V058740","2022/07/02 1000","0","22","14","210","12","20","11","13","24","252"
"V058740","2022/07/02 1100","0","38","11","218","15","44","11","15","24","300"
"V058740","2022/07/02 1200","0","20","6","202","13","38","9","13","25","260"
"V058740","2022/07/02 1300","0","12","4","257","15","47","11","15","36","316"
"V058740","2022/07/02 1400","0","8","8","244","14","16","7","14","33","268"
"V058740","2022/07/02 1500","0","6","8","221","16","32","7","15","34","259"
"V058740","2022/07/02 1600","0","21","6","234","16","37","12","16","36","292"
"V058740","2022/07/02 1700","0","17","9","239","16","42","5","15","36","298"
"V058740","2022/07/02 1800","0","16","7","262","15","57","12","16","40","335"
"V058740","2022/07/02 1900","0","8","12","137","21","43","12","19","48","188"
"V058740","2022/07/02 2000","0","2","33","110","29","14","15","29","63","126"
"V058740","2022/07/02 2100","0","1","67","89","25","13","18","26","38","103"
"V058740","2022/07/02 2200","0","0","0","100","25","17","24","25","37","117"
"V058740","2022/07/02 2300","0","1","11","64","32","20","26","31","27","85"
"V058740","2022/07/03 0000","0","3","48","34","23","7","17","23","23","44"
"V058740","2022/07/03 0100","0","0","0","18","29","8","25","27","8","26"
"V058740","2022/07/03 0200","0","1","10","10","39","4","20","32","28","15"
"V058740","2022/07/03 0300","0","1","40","5","20","0","0","24","8","6"
"V058740","2022/07/03 0400","0","1","15","3","40","0","0","34","16","4"
"V058740","2022/07/03 0500","0","1","10","7","16","0","0","15","9","8"
"V058740","2022/07/03 0600","0","1","21","8","10","1","1","10","13","10"
"V058740","2022/07/03 0700","0","2","19","14","21","7","15","19","10","23"
"V058740","2022/07/03 0800","0","1","19","20","24","15","28","25","43","36"
"V058740","2022/07/03 0900","0","1","0","59","27","6","20","27","47","66"
"V058740","2022/07/03 1000","0","3","23","46","28","14","20","27","29","63"
"V058740","2022/07/03 1100","0","5","28","52","27","19","19","29","23","76"
"V058740","2022/07/03 1200","0","3","15","71","31","8","15","30","27","82"
"V058740","2022/07/03 1300","0","2","7","103","26","15","23","27","59","120"
"V058740","2022/07/03 1400","0","5","17","95","24","19","17","24","51","119"
"V058740","2022/07/03 1500","0","3","28","115","25","10","14","25","63","128"
"V058740","2022/07/03 1600","0","0","0","119","30","15","7","30","56","134"
"V058740","2022/07/03 1700","0","2","11","101","28","14","16","27","68","117"
"V058740","2022/07/03 1800","0","2","3","112","29","16","25","29","58","130"
"V058740","2022/07/03 1900","0","1","35","104","28","25","19","29","49","130"
"V058740","2022/07/03 2000","0","0","0","95","28","21","24","29","44","116"
"V058740","2022/07/03 2100","0","1","29","80","31","11","18","29","31","92"
