"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V058740","2022/10/01 0000","0","0","0","4","26","1","19","23","7","5"
"V058740","2022/10/01 0100","0","1","29","17","21","7","15","20","14","25"
"V058740","2022/10/01 0200","0","0","0","12","20","3","12","18","19","15"
"V058740","2022/10/01 0300","0","1","34","7","12","2","27","21","8","10"
"V058740","2022/10/01 0400","0","1","5","4","19","5","12","14","25","10"
"V058740","2022/10/01 0500","0","0","0","4","35","2","30","33","3","6"
"V058740","2022/10/01 0600","0","2","17","7","33","4","22","27","2","13"
"V058740","2022/10/01 0700","0","2","7","23","21","8","33","23","13","33"
"V058740","2022/10/01 0800","0","2","25","40","24","23","13","26","36","65"
"V058740","2022/10/01 0900","0","7","27","81","26","22","22","27","37","110"
"V058740","2022/10/01 1000","0","7","24","81","26","18","17","27","25","106"
"V058740","2022/10/01 1100","0","11","22","94","31","15","20","31","33","120"
"V058740","2022/10/01 1200","0","4","22","101","29","26","15","27","35","131"
"V058740","2022/10/01 1300","0","5","22","67","28","20","25","29","41","92"
"V058740","2022/10/01 1400","0","2","16","134","26","31","20","25","58","167"
"V058740","2022/10/01 1500","0","8","15","143","26","16","20","26","56","167"
"V058740","2022/10/01 1600","0","4","33","138","29","33","22","28","54","175"
"V058740","2022/10/01 1700","0","5","18","119","29","22","20","28","48","146"
"V058740","2022/10/01 1800","0","4","12","125","24","25","18","23","54","154"
"V058740","2022/10/01 1900","0","2","4","106","25","31","24","24","55","139"
"V058740","2022/10/01 2000","0","2","4","101","22","20","24","24","47","123"
"V058740","2022/10/01 2100","0","0","0","109","27","14","19","27","38","123"
"V058740","2022/10/01 2200","0","1","33","94","29","29","32","30","28","124"
"V058740","2022/10/01 2300","0","3","26","60","27","23","19","25","25","86"
"V058740","2022/10/02 0000","0","2","44","31","21","14","16","24","15","47"
"V058740","2022/10/02 0100","0","1","0","25","23","6","24","25","28","32"
"V058740","2022/10/02 0200","0","0","0","13","34","5","13","31","8","18"
"V058740","2022/10/02 0300","0","1","26","8","7","3","5","9","19","12"
"V058740","2022/10/02 0400","0","1","3","7","33","3","16","30","5","11"
"V058740","2022/10/02 0500","0","0","0","5","25","2","26","25","10","7"
"V058740","2022/10/02 0600","0","2","14","4","19","4","21","19","15","10"
"V058740","2022/10/02 0700","0","1","5","17","19","9","21","20","16","27"
"V058740","2022/10/02 0800","0","1","0","24","20","15","21","21","33","40"
"V058740","2022/10/02 0900","0","3","20","48","26","11","10","25","35","62"
"V058740","2022/10/02 1000","0","2","2","49","25","13","35","27","38","64"
"V058740","2022/10/02 1100","0","6","18","70","22","11","21","24","21","87"
"V058740","2022/10/02 1200","0","4","23","72","20","13","17","21","33","89"
"V058740","2022/10/02 1300","0","2","11","105","28","17","21","27","52","124"
"V058740","2022/10/02 1400","0","5","15","131","25","20","33","26","51","156"
"V058740","2022/10/02 1500","0","6","34","148","23","20","24","24","58","174"
"V058740","2022/10/02 1600","0","2","17","138","24","19","19","24","59","159"
"V058740","2022/10/02 1700","0","3","5","122","25","29","23","26","53","154"
"V058740","2022/10/02 1800","0","0","0","99","30","25","19","29","45","124"
"V058740","2022/10/02 1900","0","0","0","95","25","24","27","26","44","119"
"V058740","2022/10/02 2000","0","0","0","129","23","22","20","24","50","151"
"V058740","2022/10/02 2100","0","0","0","94","25","15","22","26","35","109"
"V058740","2022/10/02 2200","0","1","0","82","23","34","23","25","26","117"
"V058740","2022/10/02 2300","0","0","0","42","25","12","19","25","16","54"
"V058740","2022/10/03 0000","0","1","22","20","25","5","18","24","16","26"
"V058740","2022/10/03 0100","0","1","26","4","17","5","13","16","20","10"
"V058740","2022/10/03 0200","0","0","0","5","24","1","19","23","20","6"
