Road ID,Date and Time,Average Speed (km\h),Traffic Volume,Traffic volume (Passenger Car Unit),Data Corrupt Value
V058700,2022/01/01 0000,3,1,1,0
V058700,2022/01/01 0100,20,31,29,0
V058700,2022/01/01 0200,13,20,15,0
V058700,2022/01/01 0300,26,17,16,0
V058700,2022/01/01 0400,23,15,16.5,0
V058700,2022/01/01 0500,14,19,19.5,0
V058700,2022/01/01 0600,14,17,16.5,0
V058700,2022/01/01 0700,14,28,25.5,0
V058700,2022/01/01 0800,25,47,38.5,0
V058700,2022/01/01 0900,20,52,45.5,0
V058700,2022/01/01 1000,27,89,77.5,0
V058700,2022/01/01 1100,17,83,73,0
V058700,2022/01/01 1200,28,135,121.5,0
V058700,2022/01/01 1300,22,68,62,0
V058700,2022/01/01 1400,27,85,80,0
V058700,2022/01/01 1500,24,108,98.5,0
V058700,2022/01/01 1600,30,110,100,0
V058700,2022/01/01 1700,32,92,81,0
V058700,2022/01/01 1800,30,125,110,0
V058700,2022/01/01 1900,28,86,75,0
V058700,2022/01/01 2000,24,91,78.5,0
V058700,2022/01/01 2100,25,39,34,0
V058700,2022/01/01 2200,21,54,47.5,0
V058700,2022/01/01 2300,21,28,25,0
V058700,2022/01/02 0000,20,25,22,0
V058700,2022/01/02 0100,24,19,16.5,0
V058700,2022/01/02 0200,15,4,4,0
V058700,2022/01/02 0300,31,8,7,0
V058700,2022/01/02 0400,0,3,3,2
V058700,2022/01/02 0500,9,6,7.5,0
V058700,2022/01/02 0600,15,10,11,0
V058700,2022/01/02 0700,21,13,12,0
V058700,2022/01/02 0800,17,40,33,0
V058700,2022/01/02 0900,27,57,52,0
V058700,2022/01/02 1000,27,65,59.5,0
V058700,2022/01/02 1100,26,96,89.5,0
V058700,2022/01/02 1200,28,158,135.5,0
V058700,2022/01/02 1300,28,98,90.5,0
V058700,2022/01/02 1400,26,113,106,0
V058700,2022/01/02 1500,29,109,99,0
V058700,2022/01/02 1600,27,109,100.5,0
V058700,2022/01/02 1700,28,158,139.5,0
V058700,2022/01/02 1800,32,148,136.5,0
V058700,2022/01/02 1900,30,96,85.5,0
V058700,2022/01/02 2000,26,92,82.5,0
V058700,2022/01/02 2100,25,53,45,0
V058700,2022/01/02 2200,21,62,56,0
V058700,2022/01/02 2300,22,29,24.5,0
V058700,2022/01/03 0000,18,20,18,0
V058700,2022/01/03 0100,19,10,9,0
V058700,2022/01/03 0200,9,3,3.5,0
V058700,2022/01/03 0300,7,4,4.5,0
V058700,2022/01/03 0400,16,6,6,0
V058700,2022/01/03 0500,13,8,9,0
V058700,2022/01/03 0600,4,6,4.5,0
V058700,2022/01/03 0700,16,44,40,0
V058700,2022/01/03 0800,31,288,258.5,0
V058700,2022/01/03 0900,34,256,236,0
V058700,2022/01/03 1000,30,142,134.5,0
V058700,2022/01/03 1100,24,120,118,0
V058700,2022/01/03 1200,26,145,129.5,0
V058700,2022/01/03 1300,25,132,127,0
V058700,2022/01/03 1400,23,133,124.5,0
V058700,2022/01/03 1500,26,162,149,0
V058700,2022/01/03 1600,29,131,126.5,0
V058700,2022/01/03 1700,29,193,175,0
V058700,2022/01/03 1800,34,271,243.5,0
V058700,2022/01/03 1900,33,255,206,0
V058700,2022/01/03 2000,24,116,99.5,0
V058700,2022/01/03 2100,27,84,75,0
V058700,2022/01/03 2200,24,66,58,0
V058700,2022/01/03 2300,19,40,32.5,0
V058700,2022/01/04 0000,10,19,14,0
V058700,2022/01/04 0100,7,5,4.5,0
V058700,2022/01/04 0200,11,9,8.5,0
V058700,2022/01/04 0300,10,4,3.5,0
V058700,2022/01/04 0400,9,8,10,0
V058700,2022/01/04 0500,3,9,9,0
V058700,2022/01/04 0600,13,10,10.5,0
V058700,2022/01/04 0700,13,43,37,0
V058700,2022/01/04 0800,30,305,259.5,0
V058700,2022/01/04 0900,35,265,243,0
V058700,2022/01/04 1000,23,129,121.5,0
V058700,2022/01/04 1100,24,100,100,0
V058700,2022/01/04 1200,28,125,111,0
V058700,2022/01/04 1300,28,118,106,0
V058700,2022/01/04 1400,26,140,133,0
V058700,2022/01/04 1500,23,159,152.5,0
V058700,2022/01/04 1600,27,24,24.5,0
V058700,2022/01/04 1700,31,176,157,0
V058700,2022/01/04 1800,34,317,272.5,0
V058700,2022/01/04 1900,33,206,175.5,0
V058700,2022/01/04 2000,26,115,100,0
V058700,2022/01/04 2100,22,76,66.5,0
V058700,2022/01/04 2200,20,92,86,0
V058700,2022/01/04 2300,11,39,34.5,0
V058700,2022/01/05 0000,20,19,15.5,0
V058700,2022/01/05 0100,19,17,15,0
V058700,2022/01/05 0200,18,4,3.5,0
V058700,2022/01/05 0300,9,5,5.5,0
V058700,2022/01/05 0400,14,8,7.5,0
V058700,2022/01/05 0500,9,14,14.5,0
V058700,2022/01/05 0600,19,13,11.5,0
V058700,2022/01/05 0700,21,45,42,0
V058700,2022/01/05 0800,30,251,218.5,0
V058700,2022/01/05 0900,33,312,283.5,0
V058700,2022/01/05 1000,30,200,180,0
V058700,2022/01/05 1100,28,147,142,0
V058700,2022/01/05 1200,30,157,139,0
V058700,2022/01/05 1300,22,140,128.5,0
V058700,2022/01/05 1400,24,131,116.5,0
V058700,2022/01/05 1500,26,155,145,0
V058700,2022/01/05 1600,24,74,68.5,0
V058700,2022/01/05 1700,27,196,184,0
V058700,2022/01/05 1800,32,282,241,0
V058700,2022/01/05 1900,33,237,202,0
V058700,2022/01/05 2000,28,96,83.5,0
V058700,2022/01/05 2100,28,86,76,0
V058700,2022/01/05 2200,24,61,54,0
V058700,2022/01/05 2300,19,22,19,0
V058700,2022/01/06 0000,15,20,17,0
V058700,2022/01/06 0100,23,10,10,0
V058700,2022/01/06 0200,5,6,6,0
V058700,2022/01/06 0300,26,5,4.5,0
V058700,2022/01/06 0400,13,12,13.5,0
V058700,2022/01/06 0500,9,10,9.5,0
V058700,2022/01/06 0600,18,8,9,0
V058700,2022/01/06 0700,18,42,41.5,0
V058700,2022/01/06 0800,32,280,248,0
V058700,2022/01/06 0900,32,280,252,0
V058700,2022/01/06 1000,32,186,172.5,0
V058700,2022/01/06 1100,25,146,135.5,0
V058700,2022/01/06 1200,25,153,138,0
V058700,2022/01/06 1300,23,118,110.5,0
V058700,2022/01/06 1400,29,146,137,0
V058700,2022/01/06 1500,26,158,149,0
V058700,2022/01/06 1600,26,129,122,0
V058700,2022/01/06 1700,29,193,186,0
V058700,2022/01/06 1800,32,241,207.5,0
V058700,2022/01/06 1900,31,216,199,0
V058700,2022/01/06 2000,27,100,89,0
V058700,2022/01/06 2100,21,77,67.5,0
V058700,2022/01/06 2200,27,71,64.5,0
V058700,2022/01/06 2300,25,25,23.5,0
V058700,2022/01/07 0000,17,10,9.5,0
V058700,2022/01/07 0100,13,21,21,0
V058700,2022/01/07 0200,16,8,7.5,0
V058700,2022/01/07 0300,10,7,8,0
V058700,2022/01/07 0400,7,3,4,0
V058700,2022/01/07 0500,10,9,8.5,0
V058700,2022/01/07 0600,7,10,9.5,0
V058700,2022/01/07 0700,17,39,35.5,0
V058700,2022/01/07 0800,31,229,214,0
V058700,2022/01/07 0900,34,275,254,0
V058700,2022/01/07 1000,30,171,161,0
V058700,2022/01/07 1100,26,174,176,0
V058700,2022/01/07 1200,27,197,184,0
V058700,2022/01/07 1300,25,149,141,0
V058700,2022/01/07 1400,26,171,167,0
V058700,2022/01/07 1500,30,154,146,0
V058700,2022/01/07 1600,27,148,139.5,0
V058700,2022/01/07 1700,29,167,156,0
V058700,2022/01/07 1800,32,347,306.5,0
V058700,2022/01/07 1900,26,290,250.5,0
V058700,2022/01/07 2000,29,169,144,0
V058700,2022/01/07 2100,26,81,72.5,0
V058700,2022/01/07 2200,31,103,95,0
V058700,2022/01/07 2300,17,36,30,0
V058700,2022/01/08 0000,20,25,21.5,0
V058700,2022/01/08 0100,17,14,14,0
V058700,2022/01/08 0200,24,14,14,0
V058700,2022/01/08 0300,16,9,9,0
V058700,2022/01/08 0400,13,5,6,0
V058700,2022/01/08 0500,1,7,7.5,0
V058700,2022/01/08 0600,9,5,6.5,0
V058700,2022/01/08 0700,18,17,15.5,0
V058700,2022/01/08 0800,20,65,53,0
V058700,2022/01/08 0900,26,110,107,0
V058700,2022/01/08 1000,26,134,128.5,0
V058700,2022/01/08 1100,26,159,151.5,0
V058700,2022/01/08 1200,30,201,184,0
V058700,2022/01/08 1300,29,135,124.5,0
V058700,2022/01/08 1400,29,144,138.5,0
V058700,2022/01/08 1500,24,138,131.5,0
V058700,2022/01/08 1600,27,175,166,0
V058700,2022/01/08 1700,27,183,172.5,0
V058700,2022/01/08 1800,30,198,184.5,0
V058700,2022/01/08 1900,26,138,120,0
V058700,2022/01/08 2000,25,79,69.5,0
V058700,2022/01/08 2100,24,57,50,0
V058700,2022/01/08 2200,23,66,58.5,0
V058700,2022/01/08 2300,18,45,39,0
V058700,2022/01/09 0000,15,18,14,0
V058700,2022/01/09 0100,15,15,13.5,0
V058700,2022/01/09 0200,9,15,14,0
V058700,2022/01/09 0300,19,10,9.5,0
V058700,2022/01/09 0400,11,5,5.5,0
V058700,2022/01/09 0500,12,9,9.5,0
V058700,2022/01/09 0600,10,13,11,0
V058700,2022/01/09 0700,13,17,17.5,0
V058700,2022/01/09 0800,22,41,39.5,0
V058700,2022/01/09 0900,24,77,72.5,0
V058700,2022/01/09 1000,29,104,90,0
V058700,2022/01/09 1100,26,104,99,0
V058700,2022/01/09 1200,30,176,151,0
V058700,2022/01/09 1300,29,122,115.5,0
V058700,2022/01/09 1400,23,98,90.5,0
V058700,2022/01/09 1500,26,113,103,0
V058700,2022/01/09 1600,28,118,104.5,0
V058700,2022/01/09 1700,28,151,135.5,0
V058700,2022/01/09 1800,30,180,164,0
V058700,2022/01/09 1900,26,123,114.5,0
V058700,2022/01/09 2000,29,76,68,0
V058700,2022/01/09 2100,25,70,65,0
V058700,2022/01/09 2200,24,42,34,0
V058700,2022/01/09 2300,22,22,20,0
V058700,2022/01/10 0000,11,13,11.5,0
V058700,2022/01/10 0100,11,9,8,0
V058700,2022/01/10 0200,13,4,4.5,0
V058700,2022/01/10 0300,17,3,2.5,0
V058700,2022/01/10 0400,11,5,5,0
V058700,2022/01/10 0500,11,5,4.5,0
V058700,2022/01/10 0600,14,11,11,0
V058700,2022/01/10 0700,13,49,46,0
V058700,2022/01/10 0800,28,293,261.5,0
