road_id,dateWtime,incomplete,avgSpeed,trafficVolume,trafficVolume(pcu),corrupt_value
V003400,2022/02/05 2300,9,306,339,0
V003400,2022/02/06 0000,27,487,502,0
V003400,2022/02/06 0100,34,382,390,0
V003400,2022/02/06 0200,32,234,238.5,0
V003400,2022/02/06 0300,39,200,203,0
V003400,2022/02/06 0400,41,183,183.5,0
V003400,2022/02/06 0500,38,133,136.5,0
V003400,2022/02/06 0600,37,91,95,0
V003400,2022/02/06 0700,37,192,200.5,0
V003400,2022/02/06 0800,24,254,267,0
V003400,2022/02/06 0900,31,287,294.5,0
V003400,2022/02/06 1000,19,443,453,0
V003400,2022/02/06 1100,21,414,430,0
V003400,2022/02/06 1200,21,480,497,0
V003400,2022/02/06 1300,15,515,538,0
V003400,2022/02/06 1400,11,562,579,0
V003400,2022/02/06 1500,9,411,438,0
V003400,2022/02/06 1600,5,372,396.5,0
V003400,2022/02/06 1700,15,511,531.5,0
V003400,2022/02/06 1800,14,475,499,0
V003400,2022/02/06 1900,14,433,458,0
V003400,2022/02/06 2000,15,561,581.5,0
V003400,2022/02/06 2100,11,580,604.5,0
V003400,2022/02/06 2200,19,622,638,0
V003400,2022/02/06 2300,22,496,509.5,0
V003400,2022/02/07 0000,30,355,363.5,0
V003400,2022/02/07 0100,35,238,243.5,0
V003400,2022/02/07 0200,34,164,169,0
V003400,2022/02/07 0300,36,105,108.5,0
V003400,2022/02/07 0400,40,84,86,0
V003400,2022/02/07 0500,39,98,99.5,0
V003400,2022/02/07 0600,32,115,120.5,0
V003400,2022/02/07 0700,19,381,404,0
V003400,2022/02/07 0800,11,709,747,0
V003400,2022/02/07 0900,15,633,652,0
V003400,2022/02/07 1000,8,545,572,0
V003400,2022/02/07 1100,17,560,590,0
V003400,2022/02/07 1200,13,521,538.5,0
V003400,2022/02/07 1300,14,514,534.5,0
V003400,2022/02/07 1400,17,570,596.5,0
V003400,2022/02/07 1500,6,661,702.5,0
V003400,2022/02/07 1600,13,576,603,0
V003400,2022/02/07 1700,14,546,574,0
V003400,2022/02/07 1800,10,543,575.5,0
V003400,2022/02/07 1900,13,582,602.5,0
V003400,2022/02/07 2000,17,538,553,0
V003400,2022/02/07 2100,18,525,541.5,0
V003400,2022/02/07 2200,24,453,456,0
V003400,2022/02/07 2300,28,378,383.5,0
V003400,2022/02/08 0000,36,298,300,0
V003400,2022/02/08 0100,39,179,178.5,0
V003400,2022/02/08 0200,37,131,131.5,0
V003400,2022/02/08 0300,31,106,110,0
V003400,2022/02/08 0400,38,65,65.5,0
V003400,2022/02/08 0500,31,77,79,0
V003400,2022/02/08 0600,29,99,103.5,0
V003400,2022/02/08 0700,24,327,341,0
V003400,2022/02/08 0800,13,627,652.5,0
V003400,2022/02/08 0900,16,605,636,0
V003400,2022/02/08 1000,18,527,552.5,0
V003400,2022/02/08 1100,17,443,467.5,0
V003400,2022/02/08 1200,12,521,553.5,0
V003400,2022/02/08 1300,14,503,535.5,0
V003400,2022/02/08 1400,12,688,722,0
V003400,2022/02/08 1500,18,607,637.5,0
V003400,2022/02/08 1600,9,657,695.5,0
V003400,2022/02/08 1700,12,427,454,0
V003400,2022/02/08 1800,9,269,282,0
V003400,2022/02/08 1900,5,706,745.5,0
V003400,2022/02/08 2000,15,580,609.5,0
V003400,2022/02/08 2100,18,457,473.5,0
V003400,2022/02/08 2200,18,559,575,0
V003400,2022/02/08 2300,26,435,451,0
V003400,2022/02/09 0000,33,307,311.5,0
V003400,2022/02/09 0100,35,195,199.5,0
V003400,2022/02/09 0200,41,147,148,0
V003400,2022/02/09 0300,30,105,108,0
V003400,2022/02/09 0400,38,83,84.5,0
V003400,2022/02/09 0500,41,79,81,0
V003400,2022/02/09 0600,31,104,107,0
V003400,2022/02/09 0700,25,317,328.5,0
V003400,2022/02/09 0800,18,523,547,0
V003400,2022/02/09 0900,10,784,826,0
V003400,2022/02/09 1000,10,532,574.5,0
V003400,2022/02/09 1100,14,583,617,0
V003400,2022/02/09 1200,15,547,574,0
V003400,2022/02/09 1300,13,546,573,0
V003400,2022/02/09 1400,13,547,566.5,0
V003400,2022/02/09 1500,14,645,670,0
V003400,2022/02/09 1600,13,644,677,0
V003400,2022/02/09 1700,9,707,745.5,0
V003400,2022/02/09 1800,7,695,732.5,0
V003400,2022/02/09 1900,5,676,716,0
V003400,2022/02/09 2000,12,550,574.5,0
V003400,2022/02/09 2100,18,532,549,0
V003400,2022/02/09 2200,17,607,624.5,0
V003400,2022/02/09 2300,23,362,372.5,0
V003400,2022/02/10 0000,33,291,295,0
V003400,2022/02/10 0100,34,180,184.5,0
V003400,2022/02/10 0200,37,170,176,0
V003400,2022/02/10 0300,36,122,123.5,0
V003400,2022/02/10 0400,35,100,101,0
V003400,2022/02/10 0500,42,81,82,0
V003400,2022/02/10 0600,34,133,135,0
V003400,2022/02/10 0700,27,281,290,0
V003400,2022/02/10 0800,13,752,790,0
V003400,2022/02/10 0900,11,684,716.5,0
V003400,2022/02/10 1000,16,535,561.5,0
V003400,2022/02/10 1100,16,537,558.5,0
V003400,2022/02/10 1200,11,576,602.5,0
V003400,2022/02/10 1300,16,588,612.5,0
V003400,2022/02/10 1400,16,604,628.5,0
V003400,2022/02/10 1500,8,533,559.5,0
V003400,2022/02/10 1600,10,670,700.5,0
V003400,2022/02/10 1700,14,576,612.5,0
V003400,2022/02/10 1800,8,642,675,0
V003400,2022/02/10 1900,10,619,662,0
V003400,2022/02/10 2000,11,507,533,0
V003400,2022/02/10 2100,18,597,624.5,0
V003400,2022/02/10 2200,13,655,684,0
V003400,2022/02/10 2300,26,496,507.5,0
V003400,2022/02/11 0000,36,284,287.5,0
V003400,2022/02/11 0100,33,225,228,0
V003400,2022/02/11 0200,38,144,146,0
V003400,2022/02/11 0300,35,153,156.5,0
V003400,2022/02/11 0400,45,96,96.5,0
V003400,2022/02/11 0500,39,101,102.5,0
V003400,2022/02/11 0600,38,123,127,0
V003400,2022/02/11 0700,24,359,368.5,0
V003400,2022/02/11 0800,12,796,833,0
V003400,2022/02/11 0900,11,659,682,0
V003400,2022/02/11 1000,17,658,685.5,0
V003400,2022/02/11 1100,13,570,599,0
V003400,2022/02/11 1200,13,548,582.5,0
V003400,2022/02/11 1300,11,537,565,0
V003400,2022/02/11 1400,13,523,544.5,0
V003400,2022/02/11 1500,12,412,427,0
V003400,2022/02/11 1600,9,318,345,0
V003400,2022/02/11 1700,9,640,687,0
V003400,2022/02/11 1800,6,644,676,0
V003400,2022/02/11 1900,9,615,652,0
V003400,2022/02/11 2000,8,463,484.5,0
